Collocation,Chinese meaning,Meaning,Sentence
special effects,特效,"Powerful visual effects, often created with technology.",There'd be plenty of opportunities to use special effects during battle scenes.                                                              
special friends,特別的朋友 / 摯友,Very close friends.,"We're not just colleagues, we're special friends.                                             "
special occasion,特殊場合,An important event or celebration.,The anniversary party was a really special occasion.                               
spectacular failure,慘敗 / 驚人的失敗,An extremely unsuccessful event.,Although a lot of money was invested in the film it has proved to be a spectacular failure.                                                  
spectacular view,壯觀的景色,A very impressive view.,The hotel has a spectacular view of the sea.                                                                                                 
spend money,花錢,To use money to buy things.,Juan spends a lot of money on travelling.                                                                                                    
spend money on,花錢在...,To use money to pay for something.,Juan spends a lot of money on travelling.                                                     
spoil a friendship,破壞友誼,"To damage or ruin a friendship, having the opposite effect of cementing it.",A silly argument can sometimes spoil a friendship permanently.                                
spoil your appetite,壞了胃口 / 影響食慾,To eat something that will stop you feeling hungry for your next meal.,Don't have any more crisps - you'll spoil your appetite.                                                                                     
spotlessly clean,一塵不染,Perfectly clean.,You should see her flat – it's always spotlessly clean.                            
sprawling city,擴張的城市 / 蔓延的都市,A city that has spread over a large area in an untidy way.,It is a sprawling city covering an enormous area.                                             
spring a surprise on,給...一個驚喜 / 突然襲擊,To surprise someone.,They wanted to spring a surprise on their parents for their anniversary.           
squander money on,揮霍金錢於...,To waste large sums of money in a foolish way.,Sara squandered all her money on clothes and fast cars.                                       
stable home,穩定的家庭環境,"A strong, loving home.","If their family is a strong, loving one it can be called a stable home.                                                                      "
stage a strike,舉行罷工,To organize and participate in a strike.,The workers decided to stage a strike to demand better pay.                        
staggering increase,驚人的增長,A very surprising and shocking increase.,Police have reported a staggering increase in the number of acts of mindless vandalism.       
stand up straight,站直,To maintain a good posture with a straight back.,Try to stand up straight as you talk.                                                         
standing ovation,起立鼓掌,When the audience stands up to applaud a performance.,The orchestra received a standing ovation for their performance of the symphony.                                                             
star in a film,主演電影,To be the main actor in a film.,I think historical dramas work particularly well on the big screen and I'd love to make a film about Vikings in Britain.                     
star-studded cast,眾星雲集的卡司,A group of famous actors in a film or play.,The rest of the star-studded cast gave a dazzling display of their talents.        
start up a business,創業,To create a new business.,We started up a business to supply sports equipment to schools.                                                                              
state a preference,表明偏好,To formally say what you prefer.,You can state your preference for a special low fat menu.                                     
state of euphoria,亢奮狀態 / 欣喜若狂,"A feeling of intense, excited happiness.",We are all in a state of euphoria after our fantastic exam results.                
state your preference,說明你的喜好,To say what you would prefer.,"You can state your preference for a special low fat menu, or seafood or vegetarian.                                                          "
stating clearly,清楚說明,To say something in a very clear and unambiguous way.,...stating clearly that motivation is more important than all other factors.                  
staunch the flow,止住流動 (通常指止血),"To stop the flow of something, usually blood.",The medic tried to staunch the flow of blood from the wound.                       
steady growth,穩定成長,"Consistent, stable growth.",We are proud of the steady growth experienced by small businesses.                 
steady job,穩定的工作,"A reliable, long-term job.",Her father was a builder with a steady job.                                                                                                  
steady stream,源源不斷,"A continuous and regular flow of something, like traffic or people.",There was a steady stream of vehicles on the main highway.                                    
steer the conversation,引導話題,To change the subject of a conversation.,I tried to steer the conversation away from my terrible exam results.                                                                        
step-by-step approach,循序漸進的方法,A method of doing something one stage at a time.,It's best to take a step-by-step approach to the problem.                          
stick to the schedule,按進度表進行 / 遵守時間表,To follow a plan or timetable without deviation.,"If we want to finish on time, we must stick to the schedule.                       "
stiff competition,激烈的競爭,Strong competition.,There is stiff competition for the best jobs.                                                                                                
stimulate growth,刺激成長,To encourage economic or business growth.,The government announced its intentions to stimulate growth in the region.         
stimulating working environment,激勵人心的工作環境,An interesting and challenging place to work.,Are you looking for a stimulating working environment?                                                                                       
stir up memories,勾起回憶,To make someone remember things from the past.,Now you're stirring up memories for me.                                                                                                      
story breaks,新聞曝光 / 故事傳開,For a news story to become publicly known for the first time.,The singer was out of the country when the story about his wife broke.                        
straight hair,直髮,Hair that is not curly or wavy.,My sister has straight hair and a round face.                                                                                                
straight-A student,全A優等生,A student who always gets the best marks.,"By the age of eighteen, she was a straight-A student.                              "
stream of traffic,車流,Continuous movement of traffic.,There was a stream of traffic outside our room all night.                                                                                    
streaming cold,重感冒流鼻涕,A very heavy cold.,I've had a streaming cold for days now.                                            
street children,街頭流浪兒童,Children who live on the streets.,And street children in a lot of big cities around the world.                                                                                 
strenuously defends,極力辯護,To defend a theory or position with a great deal of effort and energy.,Partridge strenuously defends her theory.                                                     
strenuously objected,強烈反對,To object to something with great effort and determination.,Local residents strenuously objected to the development plans.                                
strewn with litter,遍地垃圾,Covered with rubbish.,Many streets are strewn with litter.                                                                                                         
strictly speaking,嚴格來說,To speak in a very precise and correct way.,"Strictly speaking, a tomato is a fruit, not a vegetable.                           "
stride confidently,自信地大步走,"To walk with long, confident steps.",The president strode confidently across the room.                                                                                            
strike a balance,取得平衡,To find a satisfactory compromise between two extremes.,It can be difficult to strike a balance between work and personal life.            
strike up a conversation,攀談 / 打開話匣子,To start a conversation.,I struck up a conversation with a woman on the bus.                                                                                          
strike up a friendship,建立友誼,To begin a friendship.,He struck up a friendship with a girl he met on holiday.                                      
striking appearance,引人注目的外表,A very noticeable and impressive appearance.,"She could have been a model, she had such a striking appearance.                              "
stroke of genius / luck,天才之舉 / 意外的好運,A very clever idea or a fortunate occurrence.,Inviting her to join the project team was a stroke of genius.                      
strong coffee,濃咖啡,Coffee with a strong flavour.,I like strong coffee.                                                                                                                        
strong sense of responsibility,強烈的責任感,A powerful feeling of duty towards something or someone.,You have a strong sense of responsibility and always keep your word.                          
strong wind,強風,A wind with a lot of force.,The strong wind blew the tree down.                                                                                                          
strongly advise,強烈建議,To give very strong advice.,I would strongly advise you to think of the future.                                                                                          
strongly deny,強烈否認,To deny something in a very firm and forceful way.,The PM strongly denied claims of corruption made against him.                                 
strongly oppose/influence/believe,強烈反對/影響/相信,Used with verbs of opinion.,His father was a pacifist all his life and was strongly opposed to war.                                                                      
strumming a guitar,撥弄吉他 / 彈吉他,Playing a guitar by moving fingers across the strings.,I saw Martin strumming a guitar the other day.                                                                                               
submit a tender,投標,To present a formal document offering to do a job and stating the price.,They submitted a tender for the new stadium.                                                                                                 
subscribe to online journals,訂閱線上期刊,To pay for regular access to academic journals available on the internet.,One way to access reliable information is to subscribe to online journals.                    
substantial amount / quantity / number,大量的 / 可觀的數目,"A formal term for a large amount, quantity, or number.",He will inherit a substantial amount of money.                                     
substantial meal,豐盛的一餐,A large meal.,"For a more substantial meal, you could try the carvery.                                                                                      "
substantiating this claim,證實這項說法,Providing evidence to prove a claim is true.,...substantiating this claim with impressive data.                                            
suffer from,遭受 / 患有,To experience a particular illness or negative condition.,Millions of people suffer from malaria each year in poorer countries.                         
suffer from asthma,患有氣喘,To have the illness of asthma.,She has suffered from asthma all her life.                                                                                                   
suffer the consequences,承擔後果,To experience the negative results of an action.,"If you make him angry, you'll have to suffer the consequences.                                                                               "
suffer/sustain injuries,受傷,To receive physical harm or damage.  Sustain  is more formal.,The driver sustained serious head injuries in the crash.                                      
sunny smile,陽光般的笑容,A happy smile.,She had a sunny smile for everyone.                                                                                                          
support the claim,支持該主張 / 佐證,To provide evidence for a statement.,Marina Kass gives an account of Karl Marx's philosophy and provides evidence to support the claim that Garpov seriously misinterpreted Marx. 
supremely confident,極度自信,Extremely confident.,At work you give the impression of being supremely confident.                                 
surge of adrenalin,腎上腺素飆升,A sudden feeling of nervousness or excitement.,"As I stood up to speak, I felt a surge of adrenalin.                               "
surge of anger,怒氣衝天 / 怒火中燒,"A sudden, strong feeling of anger.",When Paul saw how harshly the poor were treated by the wealthy landowners he felt a surge of anger.                                          
surrounding countryside,周圍的鄉村,The countryside around a particular place.,From my room I look out over the surrounding countryside.                                                                                    
swallow your pride,放下自尊 / 忍氣吞聲,To do something even though it is embarrassing for you.,Jane swallowed her pride and admitted that she was wrong.                                                                                    
sweeping changes,全面的改革 / 徹底的改變,Large and far-reaching changes.,The new management introduced sweeping changes to the company.                     
swelling with pride,充滿自豪 / 滿心驕傲,Feeling very proud.,"Swelling with pride, Dan watched his daughter pick up her violin and play.                                                                   "
swift action,迅速的行動,Quick action.,The government took swift action to change the law.                                                                                          
swift response,迅速的回應,A quick reply.,I hope you will be able to give us a swift response.                                                                                         
tackle an opponent,對付對手 / 攔截對手,To challenge an opponent in a sport to get the ball.,Players may tackle an opponent to try to take possession of the ball.                   
tackle crime,打擊犯罪,To deal with the problem of crime.,It is time the party in power did something to tackle crime.                                                                            
tackle pollution,治理污染 / 解決污染問題,To deal with the problem of pollution.,It is clear that we must tackle pollution before it is too late.                                                                        
tackle social exclusion,解決社會排斥問題,To deal with the problem of people being marginalized from society.,Public spending is vital to tackle social exclusion.                                
take a chance,冒險 / 碰運氣,To take a risk.,I think I'll take a chance and leave my flight booking till the last minute.                                                            
take a decision,做決定,To make a decision. This is an alternative to make a decision.,"It's a difficult issue, and the committee needs more time to take a decision.           "
take a detour,繞道,To take a different or indirect route.,"Several roads were closed, so we had to make/take a detour.                                                                             "
take a dislike to,開始討厭,To start to dislike someone or something.,No point in staying somewhere where the boss has taken a dislike to you!                                                                
take a free kick,踢自由球,"In football, to kick the ball from a stationary position after a foul.",The player is getting ready to take a free kick just outside the penalty area.          
take a holiday,休假,To go on holiday.,We're so glad we decided to take a holiday here.                                                                                        
take a joke,開得起玩笑,To not mind a joke being played on you.,"Fortunately, the teacher could take a joke and didn't punish them.                                                                      "
take a liking to,開始喜歡 / 看中,To start to like someone or something.,We saw one that we took a liking to.                                                                                                    
take a penalty,踢罰球 / 罰點球,"In football, to take a free shot at the goal.",This will lead to the referee blowing his whistle and an opponent taking a penalty or taking a free kick.                               
take a risk,冒險,To do something that might have a bad result.,"Of course, we were taking a risk as we didn't know exactly what we'd find there.                                                        "
take a shortcut,抄近路,To take a more direct route than the usual one.,We took a shortcut through a narrow side-street.                                        
take a step-by-step approach,採取循序漸進的方法,To deal with a task in a series of stages.,The best advice is to take a step-by-step approach.                                 
take a stroll,散步,"To go for a slow, relaxed walk.","Some were taking a stroll with their dogs, while more energetic people chose to go jogging.                                             "
take a trip,旅行,To go on a short journey.,Yesterday we took a trip to the mountains.                                                                                              
take action,採取行動,To do something to deal with a situation.,"You'll soon find something else, so take action - that's my advice!                                                                     "
take advantage of,利用 / 佔便宜,To make use of an opportunity.,Take advantage of being in London - there are always plenty of jobs there.                                                              
take an exam,參加考試,To sit for an exam.,She's taking an exam.                                                                                                                   
take an intense dislike,極度厭惡,To begin to dislike someone or something very strongly.,Are you more likely to take an intense dislike to a person or a place?                  
take an interest in,對...產生興趣,To become interested in something.,Some kids took an interest in us and showed us some great places.                                                                       
take full credit,獨攬功勞,To accept all the praise and recognition for something.,The cast cannot take full credit for its success.                                       
take hostage,劫持人質,To capture and hold someone as a hostage.,A tourist was taken hostage when rebel troops seized control of St Pips Airport last night.                                             
take industrial action,採取勞工行動 / 罷工,To go on strike.,The union is threatening to take industrial action.                                 
take issue with,與...爭論 / 不同意,A formal way of saying to disagree with something.,I take issue with some of the points made in the speech.                            
take my advice,聽我的建議,To follow someone's advice.,I know you never take my advice but I would strongly advise you to think of the future.                                                 
take offence,生氣 / 見怪,To feel upset or insulted by something someone has said or done.,I think most people take offence if they're just treated like a number.                 
take on a cameo role,客串演出,To accept a small but special part in a film.,I'd like Judi Dench to take on a cameo role.                                                                                            
take on work,接工作 / 承擔工作,To accept work or responsibility.,I took on too much work last month and couldn't finish it all.                                                                          
take pleasure in,樂於 / 以...為樂,To find enjoyment in doing something.,And they seem to take pleasure in looking after you.                                    
take possession of the ball,控球,"In sports, to get the ball from an opponent.",Players may tackle an opponent to try to take possession of the ball.                                                                   
take pride in,以...為榮,To feel proud of something.,They seem to take pride in their service.                                                                                               
take the easy way out,挑簡單的路走 / 避重就輕,"To choose the simplest solution, even if it is not the best or most moral one.",She felt proud that she didn't just take the easy way out.                          
take the lead,帶頭 / 領先,To be in a winning position in a game or competition.,Both teams hope that they will have taken the lead by half-time.                                                                        
take the soft option,選擇輕鬆的方式,To choose the easiest option.,Well I think you're just taking the soft option if you choose the bookshop.                                                             
take up the guitar,開始學吉他,To start learning to play the guitar.,I've taken up the guitar.                                                                                                               
talk business,談生意 / 談正事,To discuss work or professional matters.,I think it's time we talked business.                                               
talk nonsense / a lot of sense,胡說八道 / 很有道理,To say things that are silly or very sensible.,"At first he seems to be talking nonsense, but he's actually talking a lot of sense. "
target audience,目標受眾,"The specific group of people that a product, service, or message is aimed at.",Consider the target audience.                                                           
target market,目標市場,The specific group of consumers a product is aimed at.,Our target market for this product is young professionals.                          
tasted freedom,嚐到自由的滋味,To have had an experience of freedom.,I tasted freedom when I gave up my job and travelled for a year.                                                                        
tell a lie,說謊,To say something that is not true.,Why did she tell a lie?                                                                                                                 
tell his fortune,替他算命,To predict someone's future life.,The old woman looked at his palm and began to tell his fortune.                     
tell the truth,說實話,To say what is true.,I hope you will always tell me the truth.                                                                                               
tell you a secret,告訴你一個秘密,To share a piece of private information.,"I'll tell you a secret, but you must promise not to tell anyone.                    "
tempers flared,脾氣爆發 / 怒火中燒,People became angry with each other.,"If you say tempers flared, you mean that people became angry with each other.                                                           "
tend to agree/disagree,傾向同意/不同意,To be inclined to agree or disagree.,I tend to agree that parents often blame teachers for problems which start within the family.                                           
tendency to,有...的傾向,An inclination to behave in a particular way.,You have a tendency to make snap decisions.                                             
tender lamb,嫩羊肉,Lamb meat that is soft and easy to cut.,Remember the Parazo restaurant? It was where we had the really tender lamb chops.                                                       
tentative suggestion,初步建議 / 試探性建議,A suggestion that you are not sure will be accepted.,I'd like to make a tentative suggestion about the new website.                      
terminally ill,病危 / 絕症,Having a disease that cannot be cured and will lead to death.,Patients who are terminally ill often prefer to die at home.                            
terrible mistake,可怕的錯誤,A very bad mistake.,I think I've made a terrible mistake.                                                                                                   
test these theories,檢驗這些理論,To find out if a theory is correct through experiments or analysis.,The big question for physicists is how to test these new theories.                  
theme music,主題曲,The main musical piece associated with a film or TV show.,The only good thing about the movie was the theme music.                            
thick fog,濃霧,Very dense fog.,There is thick fog on the motorway.                                                                                                     
thick hair,濃密的頭髮,Hair that is dense and full.,My brothers both have thick hair and bushy eyebrows.                                    
thinks the world of you,極其看重你 / 非常喜愛你,(Informal) To have a very high opinion of someone.,Your boss thinks the world of you.                                                                                                      
thoroughly ashamed,感到無地自容 / 非常羞愧,To feel completely sorry and embarrassed about something one has done.,"It was downright rude of him, and I hope he feels thoroughly ashamed.               "
throw a party,舉辦派對,To organize and host a party.,They decided to throw a party for their parents' anniversary.                       
throw a tantrum,發脾氣 / 耍性子,To behave in a very uncontrolled manner (like a child).,The child threw a tantrum when I wouldn't buy him any sweets.                                                                           
throw away,丟棄 / 扔掉,To discard something as rubbish.,Don't forget to throw away the empty container.                                         
throw money around,揮霍金錢 / 亂撒錢,To spend money in an obvious and careless way.,"If Jim keeps on throwing his money around like that, he soon won't have any left.                                                       "
throw money at,砸錢解決,To spend a lot of money trying to solve a problem.,The government think they can solve the problem by throwing money at it.                                                                
throwaway comment,隨口一說 / 無心之語,An unintentional or casual remark.,I don't think she meant it; it was just a throwaway comment.                        
thunderous applause,雷鳴般的掌聲,Very loud applause.,The thunderous applause at the end of last night's performance was richly deserved.                                                     
tied up,忙得不可開交 / 被綁住,"(Informal) Of money, not available for spending because it is needed for other things.",All my money is tied up in my business.                                                                                                 
tied up (money),資金被凍結 / 資金被佔用,For money to be invested in a way that it is not easily accessible.,The money is all tied up in the new one.                                                
tight budget,預算吃緊,A limited amount of money available to spend.,We had a very tight budget for our holiday this year.                                   
tiring journey,累人的旅程,A journey that makes you feel tired.,I had a very tiring journey.                                                                                                            
tone of voice,語氣 / 說話的聲調,The quality of a person's voice that expresses their feelings or thoughts.,I could tell by the tone of her voice that she was serious.                             
top speed,最高速度,The maximum speed.,This car has a top speed of 180 kilometres per hour.                                                                                    
torrential rain,傾盆大雨 / 暴雨,Very heavy rain.,I've never seen such torrential rain.                                                                                                   
touch of sadness / humour / irony / class,帶有一絲 悲傷/幽默/諷刺/格調,A small amount of a particular quality.,There was a touch of sadness in her voice as she told us the news.                  
touch on issues,觸及議題,To mention issues briefly.,It also touches on issues such as pollution.                                                                                            
tough challenge,嚴峻的挑戰,A very difficult task.,Gaining the respect of the students is a tough challenge for the new teacher.       
tough choice,艱難的抉擇,A difficult decision.,"I know, I know, but it's a tough choice.                                                                                                "
traditional dress,傳統服飾,The clothing typically worn by people in a particular country for special occasions.,"At the festival, many people were wearing traditional dress.                        "
tree-lined avenue,林蔭大道,A wide road with trees on both sides.,They live on a beautiful tree-lined avenue near the park.                               
tree-lined avenues,林蔭大道 (複數),Avenues with trees on both sides.,"As you drive into the city, the tree-lined avenues of the residential areas are soon replaced by the high-rise flats of the inner city. "
trickle of vehicles,稀疏的車流,A very small number of vehicles moving slowly.,An hour before the match there was already a trickle of vehicles entering the car park. 
trivial illness,小病 / 輕微疾病,An illness that is not serious.,"It was only a trivial illness, but she took a long time to get over it.                 "
trumped-up charges,捏造的罪名 / 莫須有的指控,Invented and false accusations.,No one should face trial on the basis of trumped-up charges.                        
trust my intuition,相信我的直覺,To feel confident that one's instinctive feelings are correct.,I don't know whether I should trust my intuition and hand in my resignation.                                                            
tune the instrument,為樂器調音,To adjust an instrument so it plays the correct notes.,"Well, the first week was all about tuning the instrument.                                                                               "
turn my bike upside down,把我的腳踏車倒過來,To put the bike with its wheels facing up.,I turned my bike upside down and tried to repair it.                                                                                    
turn red/gold/white,變紅/金/白,"For something to change to the colour red, gold, or white.",The sky turned gold as the sun set.                                                     
unanimous decision,全體一致的決定,A decision that everyone agrees on.,"There was a lot of discussion, but apparently it was a unanimous decision in the end.                         "
unanimous verdict,一致的裁決,A decision in a court case that all jury members agree on.,"In a unanimous verdict, the defendant was found not guilty.                                  "
unbounded enthusiasm,無限的熱情,Seemingly limitless enthusiasm.,A teacher needs to possess unbounded enthusiasm for their subject.                           
unbroken sunshine,陽光普照 / 連續晴天,Continuous sunshine without any clouds.,We have had unbroken sunshine ever since we arrived.                                    
undeclared earnings,未申報的收入,Income that has not been reported to tax authorities.,The black economy includes undeclared earnings and other tax-evasion practices.              
under the shadow of,在...的陰影下,To get less attention because of someone else's achievements.,Jim has always been under the shadow of his super-intelligent sister.                                         
underlying cause,根本原因,The fundamental reason for a problem.,The underlying cause of the problem was a lack of funds over many years.                                      
undertake a study,進行研究,A formal way of saying to carry out a study.,"If you are undertaking a study that involves volunteers, you must follow ethical guidelines. "
undivided attention,全神貫注,"Complete attention, without any distractions.",The grandparents give their grandchildren their undivided attention.                         
unfit for human habitation,不適合人類居住,A place that is not safe or healthy for people to live in.,The building was declared unfit for human habitation.                                        
unfounded claims,無根據的說法,Claims that are not based on facts.,"The Minister has issued a statement, saying the claims are unfounded.                   "
unhurried manner,不疾不徐的態度 / 從容的樣子,A slow way of doing things.,He always does everything in an unhurried manner.                                                             
uninterrupted view,無遮蔽的視野 / 一覽無遺,A view where nothing blocks the sight.,From most rooms there are uninterrupted views of the castle.                                                  
uninterrupted views,無遮蔽的景觀,Views that are not blocked by anything.,From most rooms there are uninterrupted views of the castle.                            
unique selling points,獨特賣點 (USP),The special features of a product that distinguish it from its competitors.,A good marketing campaign will highlight the product's unique selling points.                
unit of currency,貨幣單位,"The standard measure of money in a country (e.g., dollar, euro).",The standard unit of currency in most EU countries is the euro.                         
unknown quantity,未知數,A person or thing whose characteristics are not yet clear.,The new maths teacher is an unknown quantity.                                                
unmitigated disaster,徹底的災難,A complete and total disaster.,"The film was an unmitigated disaster, strongly influenced by Hollywood sentimentality.       "
unreliable witness,不可信的證人,A witness whose testimony is not considered trustworthy.,His lawyers attempted to show that the man was an unreliable witness.                        
unspoilt countryside,未受破壞的鄉村,Countryside that has not been changed by industry or modern buildings.,The cottage is in some wonderful unspoilt countryside.                                                        
up-tempo numbers,節奏輕快的曲目,Songs played at a fast beat.,The band have remixed four tracks from earlier albums and Jola's up-tempo numbers just add to the excitement. 
upmarket shops,高檔商店,"Shops that sell expensive, high-quality goods.",Doradella Street has a lot of upmarket shops.                                           
urban wasteland,城市荒地,A city area that is empty and in a bad condition.,Some of the inner-city areas are an urban wasteland.                                                          
utterly devastated,極度震驚 / 徹底崩潰,Used with adjectives with very extreme meanings.,The whole area was utterly devastated after the earthquake.                                                   
vacant parking spaces,空停車位,Empty spots in a car park.,There are always plenty of vacant parking spaces on our street.            
vaguely remember,依稀記得 / 模糊記得,"To remember something slightly, but not clearly.",I vaguely remember her now.                                                                                                              
valuable time,寶貴的時間,Time that is considered very important and should not be wasted.,You can save valuable time by using Timemate.                                           
value for money,物超所值 / 性價比高,Good quality in relation to the price paid.,Public spending should ensure that taxpayers receive real value for money. 
vast expanse,廣闊的區域 / 一望無際,"A very large, open area.","From the top of the hill, we could see the vast expanse of the desert.     "
vehicle theft,車輛竊盜,The crime of stealing vehicles.,"We have had a spate of burglaries in this part of the city, vehicle theft, drug abuse and so on.                                         "
viable options,可行的選項,Alternatives that are practical and capable of working successfully.,We need to consider all the viable options before making a decision.       
vigorous exercise,劇烈運動,"Strong, energetic exercise.",I believe in healthy eating and I try to do vigorous exercise every other day.                                                           
violence flares up,暴力爆發,Problems from the past suddenly become serious again.,Similarly violence flares up and troubles flare up.                                                                                      
virtuoso performance,大師級的表演 / 精湛的演出,An extremely skillful performance.,Haunting melodies and the occasional virtuoso performance from its two soloists mark this collection of popular British classical music. 
visit a chat room,進入聊天室,To go to an online forum for conversation.,I'd like to visit a chat room. Is that OK?                                                                                               
vivid imagination,豐富的想像力 / 生動的想像,A very active and creative imagination.,She has a very vivid imagination.                                                                                                        
vociferous opponent,激烈的反對者 / 大聲疾呼的反對派,Someone who opposes something loudly and publicly.,Our local MP is a vociferous opponent of building a casino in our city.    
walk briskly/swiftly,快步走 / 健步如飛,To walk quickly.,The nurse walked briskly over to the bed.                                                                       
walking encyclopaedia,活百科全書,A person who has a great deal of knowledge.,His teachers used to call him a walking encyclopaedia.                                                          
wander aimlessly,漫無目的地閒晃,To walk around with no particular purpose.,I just wandered aimlessly around town all morning.                                                              
war broke out,戰爭爆發,A war started.,"When war broke out, my grandfather joined the army.                                                             "
warm welcome,熱烈歡迎,A friendly reception.,Although the staff gave us a very warm welcome when we arrived...                                               
warmly congratulate,熱烈祝賀,To congratulate someone enthusiastically.,We must also warmly congratulate the producer.                                                                  
waste money on,浪費錢在...,To spend money on things that are not necessary or useful.,Sara wasted all her money on clothes and fast cars.                                     
waste of space,浪費空間 / (口語)廢物,A place or thing that is not being used effectively; also a derogatory term for a person.,The shed in the garden is a bit of a waste of space.                           
waste/squander money,浪費/揮霍金錢,"To spend money badly, often on large sums.",Sara wasted/squandered all her money on clothes and fast cars.                                                  
watch what you eat,注意飲食,To be careful about your diet.,"To maintain good health, you should watch what you eat.                        "
weather deteriorates,天氣惡化,(Formal) The weather gets worse.,The weather is likely to deteriorate later on today.                                                            
weigh up the options,權衡各種選項,To consider the pros and cons of different choices.,I already said I'm going to weigh up the options and come to a decision.                                        
weighty tome / matters / problems,沉重的大部頭書 / 重大事項 / 嚴重問題,"Serious and difficult books, issues, or problems.   Lexicographer's Note: A  heavy book  can be physically heavy or have difficult content, but a  weighty tome  only has difficult content.",I'm not taking that weighty tome on holiday with me.                           
welcome him home,歡迎他回家,"To greet someone returning home, often with a party.",His family are throwing a party to welcome him home.                                                            
welcome home,歡迎回家,A greeting for someone who has returned home after being away.,We must have a party to welcome her home.                                               
well-built,體格強壯 / 建造堅固,"Having a strong, attractive body.",My father and my two older brothers are all well-built.                                 
whirlwind visit,旋風式訪問 / 匆促的訪問,A very fast and busy visit.,"It was only a whirlwind visit, so I couldn't spend much quality time with her. "
whispered softly,輕聲耳語,To speak very quietly and gently.,"I love you,' Dylan whispered softly to Madison.                                        "
wide range / variety / choice,廣泛的範圍 / 多樣化 / 選擇眾多,A large selection of different things.,There is a wide variety of things to do here in the evenings.                  
widening gulf,日益擴大的鴻溝,An increasing difference between two groups.,The widening gulf between rich and poor in some countries is often due to external forces beyond their control. 
widespread condemnation,普遍的譴責,A lot of people in many places have condemned it.,"There is mounting anger over the new tax, along with widespread condemnation of it.                             "
widespread damage,大範圍的損害,Damage that affects a large area or a large number of people.,Last year's storms did widespread damage to homes in the north.                         
widespread flooding,大面積洪水,Flooding that affects a large area.,The region has experienced widespread flooding in recent years.                
wildly exaggerated / inaccurate,極度誇張 / 極不準確,Greatly exaggerated or very incorrect.,"The celebrity website is fun, but the information is wildly inaccurate.        "
win a prize,獲獎,To receive an award in a competition.,Sophia has won several prizes for her singing.                                          
win praise,贏得讚賞,To receive praise for something.,I am sure they will also win a lot of praise for their original and exciting costumes.                          
window seat,靠窗座位,A seat next to the window on a plane or train.,Do you normally prefer a window seat or an aisle seat when you fly?                                             
wine and dine,設宴款待 / 吃喝玩樂,To entertain someone with a fine meal and drinks.,The hotel is a perfect venue to wine and dine new business contacts.           
work closely with,與...緊密合作,To collaborate with someone in a close and direct way.,"In my new role, I will work closely with the marketing team.                            "
working hypothesis,工作假設 / 初步假設,A provisional theory that can be used for further research.,You will need to formulate a working hypothesis when you begin your study.     
